Datetime,High
2023-01-12 12:01:00,483977.5
2023-01-12 12:02:00,483767.1875
2023-01-12 12:03:00,484030.75
2023-01-12 12:04:00,484020.28125
2023-01-12 12:05:00,483962.5625
2023-01-12 12:06:00,483907.21875
2023-01-12 12:07:00,484293.8125
2023-01-12 12:08:00,484537.125
2023-01-12 12:09:00,484532.21875
2023-01-12 12:10:00,484612.65625
2023-01-12 12:11:00,484950.96875
2023-01-12 12:12:00,485000.0
2023-01-12 12:13:00,484748.625
2023-01-12 12:14:00,484969.65625
2023-01-12 12:15:00,484933.53125
2023-01-12 12:16:00,485000.0
2023-01-12 12:17:00,485315.0
2023-01-12 12:18:00,485439.1875
2023-01-12 12:19:00,485406.40625
2023-01-12 12:20:00,485380.75
2023-01-12 12:21:00,485353.21875
2023-01-12 12:22:00,485305.59375
2023-01-12 12:23:00,485095.3125
2023-01-12 12:24:00,485271.34375
2023-01-12 12:25:00,485264.21875
2023-01-12 12:26:00,485253.59375
2023-01-12 12:27:00,485402.0
2023-01-12 12:28:00,485408.5625
2023-01-12 12:29:00,485375.1875
2023-01-12 12:30:00,485363.96875
2023-01-12 12:31:00,485328.75
2023-01-12 12:32:00,484957.5625
2023-01-12 12:33:00,485302.875
2023-01-12 12:34:00,485366.84375
2023-01-12 12:35:00,485368.9375
2023-01-12 12:36:00,485962.4375
2023-01-12 12:37:00,485829.75
2023-01-12 12:38:00,485744.375
2023-01-12 12:39:00,485702.96875
2023-01-12 12:40:00,485129.9375
2023-01-12 12:41:00,485073.0625
2023-01-12 12:42:00,484772.375
2023-01-12 12:43:00,484993.78125
2023-01-12 12:44:00,484975.90625
2023-01-12 12:45:00,485140.96875
2023-01-12 12:46:00,485106.375
2023-01-12 12:47:00,484812.5
2023-01-12 12:48:00,484838.90625
2023-01-12 12:49:00,485065.34375
2023-01-12 12:50:00,485035.96875
2023-01-12 12:51:00,485023.4375
2023-01-12 12:52:00,484997.21875
2023-01-12 12:53:00,484850.0
2023-01-12 12:54:00,485003.28125
2023-01-12 12:55:00,484975.96875
2023-01-12 12:56:00,484975.96875
2023-01-12 12:57:00,485005.96875
2023-01-12 12:58:00,485005.96875
2023-01-12 12:59:00,484995.0
2023-01-12 13:00:00,484905.0
2023-01-12 13:01:00,484785.0
2023-01-12 13:02:00,485404.9375
2023-01-12 13:03:00,485404.9375
2023-01-12 13:04:00,485404.9375
2023-01-12 13:05:00,485370.0
2023-01-12 13:06:00,485430.0
2023-01-12 13:07:00,484927.84375
2023-01-12 13:08:00,485265.0
2023-01-12 13:09:00,485310.0
2023-01-12 13:10:00,485164.9375
2023-01-12 13:11:00,485149.9375
2023-01-12 13:12:00,485025.0
2023-01-12 13:13:00,485224.9375
2023-01-12 13:14:00,485224.9375
2023-01-12 13:15:00,485445.0
2023-01-12 13:16:00,485775.0
2023-01-12 13:17:00,485775.0
2023-01-12 13:18:00,485775.0
2023-01-12 13:19:00,485674.9375
2023-01-12 13:20:00,485659.9375
2023-01-12 13:21:00,485397.3125
2023-01-12 13:22:00,485654.96875
2023-01-12 13:23:00,485654.96875
2023-01-12 13:24:00,485654.96875
2023-01-12 13:25:00,485321.40625
2023-01-12 13:26:00,484312.65625
2023-01-12 13:27:00,484594.9375
2023-01-12 13:28:00,484219.9375
2023-01-12 13:29:00,483585.0
2023-01-12 13:30:00,483365.75
2023-01-12 13:31:00,483559.9375
2023-01-12 13:32:00,482943.46875
2023-01-12 13:33:00,483572.40625
2023-01-12 13:34:00,483990.0
2023-01-12 13:35:00,483844.9375
2023-01-12 13:36:00,483990.96875
2023-01-12 13:37:00,484099.28125
2023-01-12 13:38:00,484429.9375
2023-01-12 13:39:00,484399.9375
2023-01-12 13:40:00,484354.9375
2023-01-12 13:41:00,484410.96875
2023-01-12 13:42:00,484410.96875
2023-01-12 13:43:00,484480.0
